全部,#genre#
CCTV1HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226223/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV6HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226011/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV12HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14HD,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8
